,date,batch_id,location,current_hop,external_storage,thermal_shipper_temp_reading,room_temp_reading,room_humidity_reading,item_expiry_hours,ultra_low_temperature_freezer_hours,out_of_bound_temperature_hours,refrigeration_temperature_hours
0,10-07-2020 14:00,batch001,Jharkand,dest_discarded_vaccine_storage_unit,vaccine_storage_unit,14,22,75,-1,720,1,119
0,10-07-2020 13:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,7,93,0,720,1,119
0,10-07-2020 12:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,6,93,1,720,1,118
0,10-07-2020 11:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,8,93,2,720,1,117
0,10-07-2020 10:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,6,93,3,720,1,116
0,10-07-2020 09:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,8,93,4,720,1,115
0,10-07-2020 08:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,8,94,5,720,1,114
0,10-07-2020 07:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,6,93,6,720,1,113
0,10-07-2020 06:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,6,94,7,720,1,112
0,10-07-2020 05:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,6,91,8,720,1,111
0,10-07-2020 04:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,8,93,9,720,1,110
0,10-07-2020 03:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,8,93,10,720,1,109
0,10-07-2020 02:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,7,94,11,720,1,108
0,10-07-2020 01:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,8,92,12,720,1,107
0,10-07-2020 00:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,8,92,13,720,1,106
0,10-06-2020 23:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,8,92,14,720,1,105
0,10-06-2020 22:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,8,93,15,720,1,104
0,10-06-2020 21:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,7,92,16,720,1,103
0,10-06-2020 20:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,6,94,17,720,1,102
0,10-06-2020 19:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,8,93,18,720,1,101
0,10-06-2020 18:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,7,93,19,720,1,100
0,10-06-2020 17:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,7,94,20,720,1,99
0,10-06-2020 16:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,8,93,21,720,1,98
0,10-06-2020 15:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,8,91,22,720,1,97
0,10-06-2020 14:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,7,92,23,720,1,96
0,10-06-2020 13:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,3,8,92,24,720,1,95
0,10-06-2020 12:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,4,6,93,25,720,1,94
0,10-06-2020 11:00,batch001,Jharkand,dest_vaccine_storage_unit,vaccine_storage_unit,2,7,94,26,720,1,93
